codigo;ferramenta;data
171316;RÉGUA DE ALUMÍNIO 3 METROS;2024-01-29
171400;RÉGUA DE ALUMÍNIO 3 METROS ;2024-01-29
171327;RÉGUA DE NÍVEL MTX 2 METROS;2024-01-29
171383;RÉGUA DE NÍVEL MTX 2 METROS;2024-01-29
171225;RÉGUA DE NÍVEL MTX 2 METROS;2024-01-29
171394;RISCADEIRA CORTAG TEC 75;2024-01-29
171393;RISCADEIRA IRWIN 390 V;2024-01-29
171360;ROSSADEIRA A MOTOR;2024-01-29
171283;SACHO CORAÇÃO - 40 CM - CABO DE MADEIRA ;2024-01-29
171269;SACHO CORAÇÃO - 40 CM - CABO DE MADEIRA ;2024-01-29
171151;SACHO CORAÇÃO - 60 CM - CABO DE MADEIRA;2024-01-29
171152;SACHO CORAÇÃO - 60 CM - CABO DE MADEIRA;2024-01-29
171142;SACHO CORAÇÃO - 60 CM - CABO DE MADEIRA;2024-01-29
171148;SACHO CORAÇÃO - 60 CM - CABO DE MADEIRA;2024-01-29
123456;SAPINHO;2024-01-29
171345;SERRA CIRCULAR;2024-01-29
171117;SERRA CIRCULAR;2024-01-29
170874;SERRA CIRCULAR;2024-01-29
170545;SERRA MÁRMORE;2024-01-29
170263;SERRA MÁRMORE;2024-01-29
171336;SERRA MÁRMORE LOCADA;2024-01-29
171356;SERRA MÁRMORE LOCADA;2024-01-29
171330;SERRA MÁRMORE LOCADA;2024-01-29
169930;SOPRADOR ;2024-01-29
169955;SOPRADOR DE AR QUENTE;2024-01-29
171367;SOPRADOR TÉRMICO;2024-01-29
171243;SOPRADOR TÉRMICO;2024-01-29
171347;SUPORTE (NÍVEL A LASER) ;2024-01-29
170810;TESOURA;2024-01-29
170809;TESOURA;2024-01-29
170808;TESOURA;2024-01-29
171285;TESOURA;2024-01-29
171041;TESOURA;2024-01-29
171040;TESOURA;2024-01-29
171258;TESOURA;2024-01-29
171235;TESOURA;2024-01-29
171248;TESOURA;2024-01-29
171286;TESOURA;2024-01-29
171227;TESOURA;2024-01-29
171251;TESOURA ;2024-01-29
171362;"TESOURA CORTAR CHAPA 10""";2024-01-29
171341;TRIPÉ PARA NÍVEL A LASER;2024-01-29
171325;TRIPÉ PARA NÍVEL A LASER XY;2024-01-29
151163;VASOURA;2024-01-29
160001;VASSOURA;2024-01-29
160002;VASSOURA;2024-01-29
160003;VASSOURA;2024-01-29
169937;LIXADEIRA PEQUENA (VITÓRIA);2024-01-29
172273;CHAVE DE APT 104-BLOC 24;2024-01-29
170152;LIXADEIRA PEQUENA (VITÓRIA);2024-01-29
170353;TESOURA;2024-01-29
174396;MISTURADOR VERMELHO;2024-01-29
172285;CHAVE DE APT 104-BLOC 24;2024-01-29
170208;PARAFUZADEIRA;2024-01-29
172560;ARCO DE SERRA ;2024-01-29
172367;ARCO DE SERRA ;2024-01-29
172606;ARCO DE SERRA ;2024-01-29
172561;ARCO DE SERRA ;2024-01-29
172233;MACACO HIDRÁULICO;2024-01-29
171203;ixa;2024-01-29
172318;BLOC 02- PAV 01 LIXEIRA;2024-01-29
172316;BLOC 02-PAV 01 LIXEIRA ;2024-01-29
172317;BLOC 02- PAV 02 LIXEIRA ;2024-01-29
172315;BLOC 02 -PAV 02 LIXEIRA;2024-01-29
172336;BLOC 02-PAV 03 LIXEIRA ;2024-01-29
172335;BLOC 02 -PAV 03 LIXEIRA;2024-01-29
172314;BLOC 02- PAV 04 LIXEIRA ;2024-01-29
172337;BLOC 02- PAV 04 LIXEIRA ;2024-01-29
172319;BLOC 03- PAV 02 LIXEIRA ;2024-01-29
172324;BLOC 03-PAV 02 LIXEIRA ;2024-01-29
172320;BLOC 03-PAV 03 LIXEIRA;2024-01-29
172323;BLOC 03- PAV 03 LIXEIRA ;2024-01-29
172321;BLOC 03- PAV 04 LIXEIRA ;2024-01-29
172322;BLOC 03- PAV 04 LIXEIRA ;2024-01-29
172327;BLOC 04-PAV 02 LIXEIRA;2024-01-29
172328;BLOC 04-PAV 02 LIXEIRA;2024-01-29
172326;BLOC 04-PAV 03 LIXEIRA;2024-01-29
172325;BLOC 04- PAV 03 LIXEIRA;2024-01-29
172330;BLOC0 04- PAV 04 LIXEIRA;2024-01-29
172329;BLOC 04- PAV 04 LIXEIRA ;2024-01-29
172654;CHAVE DE APT 201 -BLOC 18;2024-01-29
172655;CHAVE DE APT 201 -BLOC 18;2024-01-29
172255;CHAVE DE APT 201-BLOC 24;2024-01-29
172262;CHAVE DE APT 201-BLOC 24;2024-01-29
174123;ENTRADA DO BLO24;2024-01-29
170204;ENTRADA DO BLO 03;2024-01-29
170157;LIXADEIRA PEQUENA ;2024-01-29
170106;BLOCO 07 PAV 03 LIXEIRA;2024-01-29
172652;CHAVE DE APT 202 -BLOC 18;2024-01-29
172656;CHAVE DE APT 202 -BLOC 18;2024-01-29
172261;CHAVE DE APT 202- BLOC 24;2024-01-29
172256;CHAVE DE APT 202-BLOC 24;2024-01-29
172657;CHAVE DE APT 203 BLOC 18;2024-01-29
172653;CHAVE DE APT 203 -BLOC 18;2024-01-29
172258;CHAVE DE APT 203-BLOC 24;2024-01-29
172661;CAVE DE APT 104 -BLOCO 18;2024-01-29
172254;CHAVE DE APT 203-BLOC 24;2024-01-29
172664;CHAVE DE APT 204- BLOC 18;2024-01-29
172257;CHAVE DE APT 204- BLOC 24;2024-01-29
172259;CHAVE DE APT 204- BLOC 24;2024-01-29
172663;CHAVE DE APT 204-BLOC 18;2024-01-29
172268;CHAVE DE APT 301- BLOC 24;2024-01-29
172603;CHAVE DE APT 301-BLOC 18;2024-01-29
172611;CHAVE DE APT 301-BLOC 18;2024-01-29
172267;CHAVE DE APT 301-BLOC 24;2024-01-29
172271;CHAVE DE APT 302- BLOC 24;2024-01-29
172269;CHAVE DE APT 302- BLOC 24;2024-01-29
172602;CHAVE DE APT 302-BLOC 18;2024-01-29
172610;CHAVE DE APT 302-BLOC 18;2024-01-29
172604;CHAVE DE APT 303-BLOC 18;2024-01-29
172613;CHAVE DE APT 303-BLOC 18;2024-01-29
172264;CHAVE DE APT 303-BLOC 24;2024-01-29
172263;CHAVE DE APT 303-BLOC 24;2024-01-29
172614;CHAVE DE APT 304-BLOC 18;2024-01-29
172571;CHAVE DE APT 304-BLOC 18;2024-01-29
172260;CHAVE DE APT 304-BLOC 24;2024-01-29
172266;CHAVE DE APT 304-BLOC 24;2024-01-29
172665;CHAVE DE APT 401-BLOC 18;2024-01-29
172666;CHAVE DE APT 401-BLOC 18;2024-01-29
172278;CHAVE DE APT 401-BLOC 24;2024-01-29
174125;LIXEIRA DO BLOCO 24 PV 02;2024-01-29
172279;CHAVE DE APT 401-BLOC 24;2024-01-29
172464;BLOCO 06 PAV 01 LIXEIRA;2024-01-29
172833;BLOCO 06 PAV 01 LIXEIRA;2024-01-29
172331;BLOCO 06 PAV 02 LIXEIRA;2024-01-29
172470;BLOCO 06 PAV 02 LIXEIRA;2024-01-29
172466;BLOCO 06 PAV 03 LIXEIRA;2024-01-29
172465;BLOCO 06 PAV 03 LIXEIRA;2024-01-29
172467;BLOCO 06 PAV 04 LIXEIRA;2024-01-29
172468;BLOCO 06 PAV 04 LIXEIRA;2024-01-29
172607;CHAVE DE APT 402-BLOC 18;2024-01-29
172559;BLOCO 09 PAV 01 LIXEIRA;2024-01-29
172469;BLOCO 09 PAV 01 LIXEIRA;2024-01-29
172332;BLOCO 09 PAV 02 LIXEIRA;2024-01-29
172565;BLOCO 09 PAV 02 LIXEIRA;2024-01-29
172471;BLOCO 08 PAV 04 LIXEIRA;2024-01-29
172670;BLOCO 08 PAV 04 LIXEIRA;2024-01-29
174534;PA;2024-01-29
172253;BLOCO 24 PAV 01 LIXEIRA;2024-01-29
172251;BLOCO 24 PAV 02 LIXEIRA;2024-01-29
169974;BLOCO 24 PAV 03 LIXEIRA;2024-01-29
169981;BLOCO 24 PAV 03 LIXEIRA;2024-01-29
170118;BLOCO 24 PAV 04 LIXEIRA;2024-01-29
169985;BLOCO 24 PAV 04 LIXEIRA;2024-01-29
170317;BLOCO 18 PAV 01 LIXEIRA;2024-01-29
170015;BLOCO 18 PAV 01 LIXEIRA;2024-01-29
170044;BLOCO 18 PAV 02 LIXEIRA;2024-01-29
170039;BLOCO 18 PAV 03 LIXEIRA;2024-01-29
170457;BLOCO 18 PAV 03 LIXEIRA;2024-01-29
169959;BLOCO 18 PAV 04 LIXEIRA;2024-01-29
170489;BLOCO 18 PAV 04 LIXEIRA;2024-01-29
170006;BLOCO 07 PAV 01 LIXEIRA;2024-01-29
172252;BLOCO 07 PAV 02 LIXEIRA;2024-01-29
170274;BLOCO 07 PAV 03 LIXEIRA;2024-01-29
170018; BLOCO 07 PAV 04 LIXEIRA;2024-01-29
170323;BLOCO 07 PAV 04 LIXEIRA;2024-01-29
172609;CHAVE DE APT 402-BLOC 18;2024-01-29
170045;ENTRADA DO BLOC 07;2024-01-29
172274;CHAVE DE APT 402-BLOC 24;2024-01-29
172275;CHAVE DE APT 402-BLOC 24;2024-01-29
172612;CHAVE DE APT 403-BLOC 18;2024-01-29
172615;CHAVE DE APT 403-BLOC 18;2024-01-29
172270;CHAVE DE APT 403-BLOC 24;2024-01-29
172265;CHAVE DE APT 403-BLOC 24;2024-01-29
172605;CHAVE DE APT 404-BLOC 18;2024-01-29
172608;CHAVE DE APT 404-BLOC 18;2024-01-29
172277;CHAVE DE APT 404-BLOC 24;2024-01-29
172276;CHAVE DE APT 404-BLOC 24;2024-01-29
169977;CHAVE ENTRADA - BL. 07;2024-01-29
172597;CHAVE ENTRADA BL. 01;2024-01-29
172633;CHAVE ENTRADA BL. 05;2024-01-29
170418;CHAVE ENTRADA BL. 06;2024-01-29
170978;CHAVE ENTRADA BL. 07;2024-01-29
172566;CHAVE ENTRADA BL. 08;2024-01-29
172668;CHAVE ENTRADA BL. 08;2024-01-29
172558;CHAVE ENTRADA BL. 09;2024-01-29
172563;CHAVE ENTRADA BL. 09;2024-01-29
172556;CHAVE ENTRADA BL. 10;2024-01-29
172564;CHAVE ENTRADA BL. 10;2024-01-29
169976;CHAVE ENTRADA BL. 18;2024-01-29
172634;CHAVE ENTRADA BL. 18;2024-01-29
172562;CHAVE ENTRADA BL. 24;2024-01-29
172573;CHAVE ENTRADA BL. 3;2024-01-29
172502;CHAVE ENTRDA BLO 04;2024-01-29
171340;CHAVE GRIFO 24;2024-01-29
171343;CHAVE GRIFO 24;2024-01-29
171344;CHAVE GRIFO 24;2024-01-29
171308;CHAVE GRIFO 48''/1200 MMN;2024-01-29
172473;CHAVE LIXEIRA 1 - BL. 24;2024-01-29
172472;CHAVE LIXEIRA 1 - BL. 8;2024-01-29
169983;CHAVE LIXEIRA 2 - BL. 18;2024-01-29
171211;MARTELETE 10KG;2024-01-29
170822;CAVE DE ENTRAD BLOC 24;2024-01-29
172297;MARTELETE 5KG;2024-01-29
172392;MARTELETE 5KG;2024-01-29
172371;MARTELETE 5KG;2024-01-29
172299;FURADEIRA ;2024-01-29
172298;MACACO DE FITAR ;2024-01-29
172400;LIXADEIRA GRANDE ;2024-01-29
172569;CHAVE DE LIXEIRA 01-BL 03;2024-01-29
172292;CHAVE DE LIXEIRA 01 BL-03;2024-01-29
172574;CHAVE DE LIXEIRA 01 BL-04;2024-01-29
172289;CHAVE DE LIXEIRA 01 BL-04;2024-01-29
172286;CHAVE DE LIXEIRA 03 BL-09;2024-01-29
172300;CHAVE DE LIXEIRA 03 BL-09;2024-01-29
172287;CHAVE DE LIXEIRA 03 BL-08;2024-01-29
172290;CHAVE DE LIXEIRA 03 BL-08;2024-01-29
172291;CHAVR DE LIXEIRA 02 BL-08;2024-01-29
172288;CHAVE DE LIXEIRA 02 BL-08;2024-01-29
172295;CHAVE DE LIXEIRA 04 BL-09;2024-01-29
172296;CHAVE DE LIXEIRA 04 BL-09;2024-01-29
169867;MARTELO FINO;2024-01-29
170203;PA;2024-01-29
172304;CASA DE BOMBA;2024-01-29
172201;CHAVE DE APT 301 BLO-07;2024-01-29
172202;CHAVE DE APT 301 BLO -07;2024-01-29
172203;CHAVE DE APT 302-BLOC-07;2024-01-29
172204;CHAVE DE APT 302 BLOC-07;2024-01-29
172205;CHAVE DE APT 304 BLOC-07;2024-01-29
172206;CHAVE DE APT 304 BLOC-07;2024-01-29
172210;CHAVE DE APT 303 BLOC -07;2024-01-29
172207;CHAVE DE APT 303 BLOC - 07;2024-01-29
172208;CHAVE DE APT 401 BLOC -07;2024-01-29
172211;CHAVE DE APT 401 BLOC -07;2024-01-29
172209;CHAVE DE APT 402 BLO -07;2024-01-29
172212;CHAVE DE APT 403 BLOC -07;2024-01-29
172214;CHAVE DE APT 403 BLOC -07;2024-01-29
172215;CHAVE DE APT 404 BLOC -07;2024-01-29
172216;CHAVE DE APT 404 BLOC -07;2024-01-29
172351;CHAVE DE LIXEIRA 01 BL -01;2024-01-29
172691;CHAVE DO BL-04;2024-01-29
172635;KIT DE CHAVE FILPES;2024-01-29
172363;PORTA DE ENTRADA BL 18;2024-01-29
172362;BLOCO 07 APT 201 ;2024-01-29
172378;BLOCO 07 APT 201 ;2024-01-29
172377;BLOCO 07 APT 202;2024-01-29
172360;BLOCO 07 APT 202;2024-01-29
172639;BLOCO 07 APT 203;2024-01-29
172638;BLOCO 07 APT 203;2024-01-29
172637;BLOCO 07 APT 204;2024-01-29
172636;BLOCO 07 APT 204;2024-01-29
172376;PORTA DE ENTRADA BL-11;2024-01-29
172361;PORTA DE ENTRADA BL-11;2024-01-29
172642;CHAVE DE LIXEIRA 02 BL-01;2024-01-29
172648;CHAVE DE LIXEIRA 02 BL-01;2024-01-29
172641;CHAVE DE LIXEIRA 03 BL-01;2024-01-29
172640;CHAVE DE LIXEIRA 03 BL-01;2024-01-29
